ID,Title,Tags,Difficulty,Solved,Accepted
1844D,Row Major,"constructive algorithms, greedy, math, number theory, strings",1400,9974,0
1844C,Particles,"dp, greedy, implementation, math",1300,12701,0
1844B,Permutations & Primes,"constructive algorithms, math",1000,15396,0
1844A,Subtraction Game,"constructive algorithms, games",800,21716,0
1843F2,Omsk Metro (hard version),"data structures, dfs and similar, divide and conquer, dp, math, trees",2300,1145,0
1843F1,Omsk Metro (simple version),"data structures, dfs and similar, dp, graphs, greedy, math, trees",1800,4167,0
1843E,Tracking Segments,"binary search, brute force, data structures, two pointers",1600,8954,0
1843D,Apple Tree,"combinatorics, dfs and similar, dp, math, trees",1200,14479,0
1843C,Sum in Binary Tree,"bitmasks, combinatorics, math, trees",800,26274,0
1843B,Long Long,"greedy, math, two pointers",800,24824,0
1843A,Sasha and Array Coloring,"greedy, sortings, two pointers",800,29098,0
1842I,Tenzing and Necklace,"divide and conquer, dp, greedy",3500,85,0
1842H,Tenzing and Random Real Numbers,"bitmasks, dp, graphs, math, probabilities",3000,328,0
1842G,Tenzing and Random Operations,"combinatorics, dp, math, probabilities",2800,557,0
1842F,Tenzing and Tree,"dfs and similar, greedy, shortest paths, sortings, trees",2500,979,0
1842E,Tenzing and Triangle,"data structures, dp, geometry, greedy, math",2300,1283,0
1842D,Tenzing and His Animal Friends,"constructive algorithms, graphs, greedy",1900,3393,0
1842C,Tenzing and Balls,dp,1500,9087,0
1842B,Tenzing and Books,"bitmasks, greedy, math",1100,13247,0
1842A,Tenzing and Tsondu,"games, math",800,17810,0
1841F,Monocarp and a Strategic Game,"geometry, sortings, two pointers",2700,376,0
1841E,Fill the Matrix,"data structures, greedy, math",2200,1557,0
1841D,Pairs of Segments,"data structures, greedy, sortings, two pointers",2000,3411,0
1841C,Ranom Numbers,"brute force, dp, greedy, math, strings",1800,6309,0
1841B,Keep it Beautiful,implementation,1000,17952,0
1841A,Game with Board,"constructive algorithms, games",800,22373,0
1840G2,In Search of Truth (Hard Version),"constructive algorithms, interactive, math, meet-in-the-middle, probabilities",2500,713,0
1840G1,In Search of Truth (Easy Version),"constructive algorithms, interactive, math, meet-in-the-middle, probabilities",2200,1907,0
1840F,Railguns,"brute force, dfs and similar, dp, graphs",2200,1417,0
1840E,Character Blocking,"data structures, hashing, implementation",1600,6323,0
1840D,Wooden Toy Festival,"binary search, greedy, sortings",1400,10843,0
1840C,Ski Resort,"combinatorics, math, two pointers",1000,19968,0
1840B,Binary Cafe,"bitmasks, combinatorics, math",1100,18921,0
1840A,Cipher Shifer,"implementation, strings, two pointers",800,28709,0
1839E,Decreasing Game,"constructive algorithms, dfs and similar, dp, greedy, interactive",2400,920,0
1839D,Ball Sorting,"data structures, dp, sortings",2100,1799,0
1839C,Insert Zero and Invert Prefix,constructive algorithms,1300,9769,0
1839B,Lamps,"greedy, sortings",1100,12704,0
1839A,The Good Array,"greedy, implementation, math",800,15735,0
1838F,Stuck Conveyor,"binary search, constructive algorithms, interactive",3000,246,0
1838E,Count Supersequences,"combinatorics, dp, math",2500,1099,0
1838D,Bracket Walk,"data structures, greedy, strings",2100,2658,0
1838C,No Prime Differences,"constructive algorithms, math, number theory",1400,11326,0
1838B,Minimize Permutation Subarrays,"constructive algorithms, math",1100,14200,0
1838A,Blackboard List,"constructive algorithms, math",800,19277,0
1837F,Editorial for Two,"binary search, data structures, greedy, implementation",2400,1715,0
1837E,Playoff Fixing,"combinatorics, trees",2200,1825,0
1837D,Bracket Coloring,"constructive algorithms, greedy",1400,11311,0
1837C,Best Binary String,"constructive algorithms, greedy",1000,18745,0
1837B,Comparison String,greedy,900,22005,0
1837A,Grasshopper on a Line,"constructive algorithms, math",800,24692,0
1836B,Astrophysicists,"greedy, math",1100,10861,0
1836A,Destroyer,"implementation, sortings",800,17709,0
1835F,Good Graph,"bitmasks, dfs and similar, graph matchings, graphs, implementation",3500,94,0
1835E,Old Mobile,"combinatorics, dp, probabilities",3500,151,0
1835D,Doctor's Brown Hypothesis,"dfs and similar, graphs, math, number theory",2900,337,0
1835C,Twin Clusters,"bitmasks, brute force, constructive algorithms, math, probabilities",2600,745,0
1835B,Lottery,"binary search, brute force, greedy, math, two pointers",2500,699,0
1835A,k-th equality,"brute force, implementation, math",1700,6267,0
1834F,Typewriter,"brute force, math",2500,399,0
1834E,MEX of LCM,"binary search, data structures, implementation, math, number theory",2300,1580,0
1834D,Survey in Class,"brute force, data structures, greedy, implementation, sortings",1900,3509,0
1834C,Game with Reversing,"games, greedy, math, strings",1200,10528,0
1834B,Maximum Strength,"greedy, math",1000,12359,0
1834A,Unit Array,"greedy, math",800,16890,0
1833G,Ksyusha and Chinchilla,"constructive algorithms, dfs and similar, dp, dsu, greedy, implementation, trees",1800,3966,0
1833F,Ira and Flamenco,"combinatorics, constructive algorithms, data structures, implementation, math, sortings, two pointers",1700,5450,0
1833E,Round Dance,"dfs and similar, dsu, graphs, shortest paths",1600,8221,0
1833D,Flipper,"brute force, constructive algorithms, greedy",1400,11053,0
1833C,Vlad Building Beautiful Array,"greedy, math",800,23332,0
1833B,Restore the Weather,"greedy, sortings",900,22376,0
1833A,Musical Puzzle,"implementation, strings",800,28657,0
1832F,Zombies,"binary search, dp",3200,212,0
1832E,Combinatorics Problem,"brute force, combinatorics, dp",2200,1788,0
1832D2,Red-Blue Operations (Hard Version),"binary search, constructive algorithms, greedy, implementation, math",2400,1580,0
1832D1,Red-Blue Operations (Easy Version),"binary search, greedy, implementation, math",2100,2473,0
1832C,Contrast Value,"greedy, implementation",1200,14768,0
1832B,Maximum Sum,"brute force, sortings, two pointers",1100,16220,0
1832A,New Palindrome,strings,800,22325,0
1831B,Array merging,"constructive algorithms, greedy",1000,15333,0
1831A,Twin Permutations,constructive algorithms,800,20473,0
1830F,The Third Grace,"data structures, dp",3200,105,0
1830E,Bully Sort,"data structures, math",3500,151,0
1830D,Mex Tree,"brute force, dp, trees",2800,438,0
1830C,Hyperregular Bracket Strings,"combinatorics, greedy, hashing, math, number theory, sortings",2400,1251,0
1830B,The BOSS Can Count Pairs,"brute force, math",2000,3872,0
1830A,Copil Copac Draws Trees,"dfs and similar, dp, graphs, trees",1400,10453,0
1829H,Don't Blame Me,"bitmasks, combinatorics, dp, math",1700,5505,0
1829G,Hits Different,"data structures, dp, implementation, math",1600,7472,0
1829F,Forever Winter,"dfs and similar, graphs, math",1300,13113,0
1829E,The Lakes,"dfs and similar, dsu, graphs, implementation",1100,14906,0
1829D,Gold Rush,"brute force, dfs and similar, dp, implementation",1000,19675,0
1829C,Mr. Perfectly Fine,"bitmasks, greedy, implementation",800,23189,0
1829B,Blank Space,implementation,800,31605,0
1829A,Love Story,"implementation, strings",800,35185,0
1828B,Permutation Swap,"math, number theory",900,17228,0
1828A,Divisible Array,"constructive algorithms, math",800,20896,0
1827F,Copium Permutation,"constructive algorithms, data structures, greedy",3500,81,0
1827E,Bus Routes,"binary search, constructive algorithms, dfs and similar, greedy, trees",3400,284,0
1827D,Two Centroids,"data structures, dfs and similar, greedy, trees",2800,545,0
1827C,Palindrome Partition,"binary search, brute force, data structures, dp, hashing, strings",2600,930,0
1827B2,Range Sorting (Hard Version),"binary search, data structures, dp, greedy",2400,1480,0
1827B1,Range Sorting (Easy Version),"binary search, dp, dsu, greedy, trees, two pointers",2000,3168,0
1827A,Counting Orders,"combinatorics, math, sortings, two pointers",1100,15070,0
1826F,Fading into Fog,"geometry, interactive, math, probabilities",2800,283,0
1826E,Walk the Runway,"bitmasks, brute force, data structures, dp, graphs, implementation, sortings",2400,1266,0
1826D,Running Miles,"brute force, dp, greedy",1700,6233,0
1826C,Dreaming of Freedom,"greedy, math, number theory",1300,10685,0
1826B,Lunatic Never Content,"math, number theory",1100,12936,0
1826A,Trust Nobody,"brute force, greedy, implementation, sortings",1200,12456,0
1825B,LuoTianyi and the Table,"greedy, math",1000,12744,0
1825A,LuoTianyi and the Palindrome String,"greedy, strings",800,17538,0
1824E,LuoTianyi and Cartridge,"data structures, trees",3500,93,0
1824D,LuoTianyi and the Function,data structures,3000,344,0
1824C,LuoTianyi and XOR-Tree,"data structures, dfs and similar, dp, dsu, greedy, trees",2500,976,0
1824B2,LuoTianyi and the Floating Islands (Hard Version),"combinatorics, dfs and similar, math, probabilities, trees",2300,2157,0
1824B1,LuoTianyi and the Floating Islands (Easy Version),"combinatorics, math, probabilities, trees",1800,3699,0
1824A,LuoTianyi and the Show,"greedy, implementation",1400,9433,0
1823F,Random Walk,"dp, graphs, math, probabilities, trees",2600,556,0
1823E,Removing Graph,"brute force, dp, games, graphs, math",2500,1036,0
1823D,Unique Palindromes,"constructive algorithms, math, strings",1900,3152,0
1823C,Strongly Composite,"greedy, math, number theory",1300,10012,0
1823B,Sort with Step,"brute force, math, sortings",900,13524,0
1823A,A-characteristic,"combinatorics, constructive algorithms, math",800,14540,0
1822G2,Magic Triples (Hard Version),"brute force, data structures, math, number theory",2200,1865,0
1822G1,Magic Triples (Easy Version),"brute force, data structures, math, number theory",1700,5253,0
1822F,Gardening Friends,"brute force, dfs and similar, dp, graphs, trees",1700,4460,0
1822E,Making Anti-Palindromes,"greedy, math, strings",1600,7827,0
1822D,Super-Permutation,"constructive algorithms, math",1200,13606,0
1822C,Bun Lover,math,800,19979,0
1822B,Karina and Array,"greedy, math, sortings",800,21711,0
1822A,TubeTube Feed,"brute force, implementation",800,21487,0
1821F,Timber,"combinatorics, dp, fft, math",2600,580,0
1821E,Rearrange Brackets,"brute force, dp, greedy, sortings, strings",2100,1833,0
1821D,Black Cells,"binary search, brute force, greedy, math",1900,4096,0
1821C,Tear It Apart,"brute force, implementation, math, strings",1300,11485,0
1821B,Sort the Subarray,"brute force, greedy",1100,14509,0
1821A,Matching,"combinatorics, math",800,17665,0
1820B,JoJo's Incredible Adventures,"math, strings, two pointers",1100,11393,0
1820A,Yura's New Name,"implementation, strings",800,14994,0
1819F,"Willy-nilly, Crack, Into Release!","data structures, dp",3500,98,0
1819E,Roads in E City,"interactive, math, probabilities, trees",3200,184,0
1819D,Misha and Apples,"brute force, data structures, dp, two pointers",2800,502,0
1819C,The Fox and the Complete Tree Traversal,"constructive algorithms, dp, implementation, math, trees",2400,1176,0
1819B,The Butcher,"geometry, greedy, implementation, sortings, two pointers",1900,2964,0
1819A,Constructive Problem,"brute force, greedy",1300,10393,0
1818B,Indivisible,constructive algorithms,900,12244,0
1818A,Politics,"greedy, implementation",800,11783,0
1817F,Entangled Substrings,"string suffix structures, strings",3500,127,0
1817E,Half-sum,"brute force, divide and conquer, greedy",3400,199,0
1817D,Toy Machine,"constructive algorithms, games, implementation",2700,532,0
1817C,Similar Polynomials,"combinatorics, math",2400,795,0
1817B,Fish Graph,"brute force, constructive algorithms, dfs and similar, graphs",1900,3240,0
1817A,Almost Increasing Subsequence,"binary search, data structures, greedy",1500,8757,0
1816B,Grid Reconstruction,"constructive algorithms, greedy",1000,13323,0
1816A,Ian Visits Mary,"constructive algorithms, geometry, number theory",800,15695,0
1815F,OH NO1 (-2-3-4),"constructive algorithms, graphs, math",3500,184,0
1815E,Bosco and Particle,"dp, math, number theory, strings",3100,259,0
1815D,XOR Counting,"bitmasks, combinatorics, dp, math",2600,822,0
1815C,Between,"constructive algorithms, dfs and similar, graphs, greedy",2200,1597,0
1815B,Sum Graph,"brute force, constructive algorithms, graphs, implementation, interactive, shortest paths, trees",2000,2465,0
1815A,Ian and Array Sorting,"greedy, math",1300,11801,0
1814F,Communication Towers,"brute force, divide and conquer, dsu",2700,360,0
1814E,Chain Chips,"data structures, dp, matrices",2300,1040,0
1814D,Balancing Weapons,"binary search, brute force, data structures, math, two pointers",2500,711,0
1814C,Search in Parallel,"constructive algorithms, greedy, sortings",1500,8719,0
1814B,Long Legs,"brute force, math",1700,8239,0
1814A,Coins,"implementation, math",800,21794,0
1812J,Unmysterious Language,"*special problem, constructive algorithms, strings",0,4677,0
1812I,Mountain Climber,*special problem,0,192,0
1812H,Expected Twist,"*special problem, interactive",0,99,0
1812G,Colour Vision,"*special problem, implementation",0,390,0
1812F,Factorization,"*special problem, number theory",0,768,0
1812E,Not a Geometry Problem,"*special problem, *special problem, constructive algorithms, geometry, math",0,3412,0
1812D,Trivial Conjecture,"*special problem, constructive algorithms, math, number theory",0,3814,0
1812C,Digits,*special problem,0,979,0
1812B,Was it Rated?,"*special problem, *special problem, *special problem, brute force, implementation",0,4574,0
1812A,Are You a Robot?,"*special problem, *special problem, *special problem, expression parsing, strings",0,10760,0
1811G2,Vlad and the Nice Paths (hard version),"binary search, combinatorics, data structures, dp, math, two pointers",2200,1294,0
1811G1,Vlad and the Nice Paths (easy version),"combinatorics, dp, math",2100,1551,0
1811F,Is It Flower?,"dfs and similar, graphs, implementation",2100,1433,0
1811E,Living Sequence,"binary search, dp, math, number theory",1500,9668,0
1811D,Umka and a Long Flight,"constructive algorithms, implementation, math",1600,6020,0
1811C,Restore the Array,"constructive algorithms, greedy",1100,16770,0
1811B,Conveyor Belts,"implementation, math",1000,17771,0
1811A,Insert Digit,"greedy, math, strings",800,26646,0
1810H,Last Number,"combinatorics, math",2900,103,0
1810G,The Maximum Prefix,dp,3200,474,0
1810F,M-tree,"data structures, math, sortings, trees",2800,465,0
1810E,Monsters,"brute force, data structures, dfs and similar, dsu, graphs, greedy",2100,2564,0
1810D,Climbing the Tree,"binary search, math",1700,6233,0
1810C,Make It Permutation,"brute force, greedy, sortings",1300,12102,0
1810B,Candies,"constructive algorithms, math, number theory",800,16098,0
1810A,Beautiful Sequence,"brute force, greedy",800,19078,0
1809G,Prediction,"combinatorics, dp, math",2800,310,0
1809F,Traveling in Berland,"binary search, data structures, graphs, greedy, implementation",2500,609,0
1809E,Two Tanks,"binary search, dp, implementation, math",2400,673,0
1809D,Binary String Sorting,"constructive algorithms, greedy",1800,5033,0
1809C,Sum on Subarrays,"constructive algorithms, greedy, math",1500,10185,0
1809B,Points on Plane,"binary search, greedy, math",1000,17201,0
1809A,Garland,implementation,800,22115,0
1808E3,Minibuses on Venus (hard version),"brute force, combinatorics, dp, math",2800,322,0
1808E2,Minibuses on Venus (medium version),"combinatorics, divide and conquer, dp, matrices",2500,514,0
1808E1,Minibuses on Venus (easy version),"combinatorics, divide and conquer, dp",2200,1022,0
1808D,"Petya, Petya, Petr, and Palindromes","binary search, brute force, data structures, two pointers",2100,1854,0
1808C,Unlucky Numbers,"brute force, dp, greedy, implementation",1900,3104,0
1808B,Playing in a Casino,"math, sortings",1200,11743,0
1808A,Lucky Numbers,"brute force, implementation",900,15195,0
1807G2,Subsequence Addition (Hard Version),"bitmasks, dp, greedy, implementation, sortings",1100,15233,0
1807G1,Subsequence Addition (Easy Version),"brute force, data structures, dp, greedy, implementation, sortings",1100,15753,0
1807F,Bouncy Ball,"brute force, dfs and similar, implementation",1700,4968,0
1807E,Interview,"binary search, implementation, interactive",1300,9986,0
1807D,Odd Queries,"data structures, implementation",900,22983,0
1807C,Find and Replace,"greedy, implementation, strings",800,25949,0
1807B,Grab the Candies,greedy,800,34188,0
1807A,Plus or Minus,implementation,800,42141,0
1806F2,GCD Master (hard version),"greedy, math, sortings",2900,206,0
1806F1,GCD Master (easy version),"greedy, math, number theory, sortings",2900,254,0
1806E,Tree Master,"brute force, data structures, dfs and similar, trees",2200,2264,0
1806D,DSU Master,"combinatorics, dp, dsu, math",2500,728,0
1806C,Sequence Master,"brute force, constructive algorithms, math",1600,6337,0
1806B,Mex Master,"constructive algorithms, greedy",900,15502,0
1806A,Walking Master,"geometry, greedy, math",800,19385,0
1805F2,Survival of the Weakest (hard version),"greedy, math, sortings, two pointers",3100,267,0
1805F1,Survival of the Weakest (easy version),"binary search, brute force, implementation, math, sortings",2600,649,0
1805E,There Should Be a Lot of Maximums,"brute force, data structures, dfs and similar, dp, trees, two pointers",2300,1296,0
1805D,"A Wide, Wide Graph","dfs and similar, dp, graphs, greedy, trees",1800,5069,0
1805C,Place for a Selfie,"binary search, data structures, geometry, math",1400,10494,0
1805B,The String Has a Target,"greedy, strings",800,17059,0
1805A,We Need the Zero,"bitmasks, brute force",800,17614,0
1804H,Code Lock,"bitmasks, dp",3300,136,0
1804G,Flow Control,"data structures, dsu, implementation",3500,159,0
1804F,Approximate Diameter,"binary search, divide and conquer, graphs, shortest paths",2700,731,0
1804E,Routing,"bitmasks, brute force, dfs and similar, dp, graphs",2400,1212,0
1804D,Accommodation,"brute force, dp, greedy, implementation",2000,4014,0
1804C,Pull Your Luck,"brute force, greedy, math, number theory",1500,10133,0
1804B,Vaccination,"greedy, implementation",1000,12673,0
1804A,Lame King,"greedy, math",800,16929,0
1802B,Settlement of Guinea Pigs,"greedy, implementation, math",1000,11742,0
1802A,Likes,"greedy, implementation",800,14521,0
1801G,A task for substrings,"data structures, string suffix structures, strings",3400,189,0
1801F,Another n-dimensional chocolate bar,"dp, math, meet-in-the-middle, number theory",2700,456,0
1801E,Gasoline prices,"data structures, divide and conquer, dsu, hashing, trees",3000,338,0
1801D,The way home,"binary search, data structures, dp, graphs, greedy, shortest paths, sortings",2100,1660,0
1801C,Music Festival,"binary search, data structures, dp, greedy, sortings",1900,2703,0
1801B,Buying gifts,"data structures, greedy, sortings",1800,4935,0
1801A,The Very Beautiful Blanket,"bitmasks, constructive algorithms",1600,7182,0
